,Medianangebot,Ausleihen,Elektronische Zeitschriften,EBooks,Aktive Benutzer
Bibliothek der Eidgenössischen Technischen Hochschule Zürich (ETHZ),9509778,421288,20740,714869,26054
Bibliothèque cantonale et universitaire de Lausanne,8625222,748349,122184,469235,19560
Bibliothèque de Genève,7199521,117793,109239,631706,5242
Schweizerische Nationalbibliothek,6512810,76972,0,65097,6119
Universitätsbibliothek Basel,6506946,468622,133545,553251,19206
Zentralbibliothek Zürich,6459273,858519,119857,185012,48249
Universitätsbibliothek Bern,4337057,747564,164711,363543,22534
Bibliothèque cantonale et universitaire de Fribourg,3828214,451303,85734,415873,15207
Zentral- und Hochschulbibliothek Luzern,1511985,364295,231160,188573,23150
Bibliothèque de l'Université de Genève,1300805,184137,112660,555062,13421
